date,length,pos,neg
2015-04-18,466,0.06562660944206006,0.06720815450643777
2015-04-19,393,0.07983969465648853,0.06638422391857504
2015-04-20,500,0.12796599999999997,0.11682999999999974
2015-04-21,500,0.08368,0.07329799999999992
2015-04-22,500,0.107654,0.059903999999999964
2015-04-23,500,0.08447599999999997,0.07127600000000003
2015-04-24,500,0.15663800000000008,0.062812
2015-04-25,393,0.07354707379134862,0.06579898218829516
2015-04-26,316,0.07389873417721521,0.06783227848101267
2015-04-27,519,0.07894412331406557,0.05437186897880537
2015-04-28,500,0.08519399999999995,0.05405200000000002
2015-04-29,517,0.09063442940038678,0.05111411992263056
2015-04-30,500,0.09036600000000003,0.061391999999999974
2015-05-01,518,0.0749749034749035,0.06400579150579151
2015-05-02,478,0.0704497907949791,0.06780962343096239
2015-05-03,451,0.07104212860310426,0.11014412416851428
