"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 04, 2017","2,476.83","2,476.88","2,480.00","2,472.08","-","0.19%"
"Aug 03, 2017","2,472.16","2,476.03","2,476.03","2,468.85","-","-0.22%"
"Aug 02, 2017","2,477.57","2,480.38","2,480.38","2,466.48","-","0.05%"
"Aug 01, 2017","2,476.35","2,477.10","2,478.51","2,471.14","-","0.24%"
"Jul 31, 2017","2,470.30","2,475.94","2,477.96","2,468.53","-","-0.07%"
"Jul 28, 2017","2,472.10","2,469.12","2,473.53","2,464.66","-","-0.13%"
"Jul 27, 2017","2,475.42","2,482.76","2,484.04","2,459.93","-","-0.10%"
"Jul 26, 2017","2,477.83","2,479.97","2,481.69","2,474.94","-","0.03%"
"Jul 25, 2017","2,477.13","2,477.88","2,481.24","2,474.91","-","0.29%"
"Jul 24, 2017","2,469.91","2,472.04","2,473.10","2,466.32","-","-0.11%"
"Jul 21, 2017","2,472.54","2,467.40","2,472.54","2,465.06","-","-0.04%"
"Jul 20, 2017","2,473.45","2,475.56","2,477.62","2,468.43","-","-0.02%"
"Jul 19, 2017","2,473.83","2,463.85","2,473.83","2,463.85","-","0.54%"
"Jul 18, 2017","2,460.61","2,455.88","2,460.92","2,450.34","-","0.06%"
"Jul 17, 2017","2,459.14","2,459.50","2,462.82","2,457.16","-","-0.01%"
"Jul 14, 2017","2,459.27","2,449.16","2,463.54","2,446.69","-","0.47%"
"Jul 13, 2017","2,447.83","2,444.99","2,449.32","2,441.69","-","0.19%"
"Jul 12, 2017","2,443.25","2,435.75","2,445.76","2,435.75","-","0.73%"
"Jul 11, 2017","2,425.53","2,427.35","2,429.30","2,412.79","-","-0.08%"
"Jul 10, 2017","2,427.43","2,424.51","2,432.00","2,422.27","-","0.09%"
"Jul 07, 2017","2,425.18","2,413.52","2,426.92","2,413.52","-","0.64%"
"Jul 06, 2017","2,409.75","2,423.44","2,424.28","2,407.70","-","-0.94%"
"Jul 05, 2017","2,432.54","2,430.78","2,434.90","2,422.05","-","0.15%"
"Jul 03, 2017","2,429.01","2,431.39","2,439.17","2,428.69","-","0.23%"
"Jun 30, 2017","2,423.41","2,429.20","2,432.71","2,421.65","-","0.15%"
"Jun 29, 2017","2,419.70","2,442.38","2,442.73","2,405.70","-","-0.86%"
"Jun 28, 2017","2,440.69","2,428.70","2,442.97","2,428.02","-","0.88%"
"Jun 27, 2017","2,419.38","2,436.34","2,440.15","2,419.38","-","-0.81%"
"Jun 26, 2017","2,439.07","2,443.32","2,450.42","2,437.03","-","0.03%"
"Jun 23, 2017","2,438.30","2,434.65","2,441.40","2,431.11","-","0.16%"
"Jun 22, 2017","2,434.50","2,437.40","2,441.62","2,433.27","-","-0.05%"
"Jun 21, 2017","2,435.61","2,439.31","2,442.23","2,430.74","-","-0.06%"
"Jun 20, 2017","2,437.03","2,450.66","2,450.66","2,436.60","-","-0.67%"
"Jun 19, 2017","2,453.46","2,442.55","2,453.82","2,441.79","-","0.83%"
"Jun 16, 2017","2,433.15","2,431.24","2,433.15","2,422.88","-","0.03%"
"Jun 15, 2017","2,432.46","2,424.14","2,433.95","2,418.53","-","-0.22%"
"Jun 14, 2017","2,437.92","2,443.75","2,443.75","2,428.34","-","-0.10%"
"Jun 13, 2017","2,440.35","2,434.15","2,441.49","2,431.28","-","0.45%"
"Jun 12, 2017","2,429.39","2,425.88","2,430.38","2,419.97","-","-0.10%"
"Jun 09, 2017","2,431.77","2,436.39","2,446.20","2,415.70","-","-0.08%"
"Jun 08, 2017","2,433.79","2,434.27","2,439.27","2,427.94","-","0.03%"
"Jun 07, 2017","2,433.14","2,432.03","2,435.28","2,424.75","-","0.16%"
"Jun 06, 2017","2,429.33","2,431.92","2,436.21","2,428.12","-","-0.28%"
"Jun 05, 2017","2,436.10","2,437.83","2,439.55","2,434.32","-","-0.12%"
"Jun 02, 2017","2,439.07","2,431.28","2,440.23","2,427.71","-","0.37%"
"Jun 01, 2017","2,430.06","2,415.65","2,430.06","2,413.54","-","0.76%"
"May 31, 2017","2,411.80","2,415.63","2,415.99","2,403.59","-","-0.05%"
"May 30, 2017","2,412.91","2,411.67","2,415.26","2,409.43","-","-0.12%"
"May 26, 2017","2,415.82","2,414.50","2,416.68","2,412.20","-","0.03%"
"May 25, 2017","2,415.07","2,409.54","2,418.71","2,408.01","-","0.44%"
"May 24, 2017","2,404.39","2,401.41","2,405.58","2,397.99","-","0.25%"
"May 23, 2017","2,398.42","2,397.04","2,400.85","2,393.88","-","0.18%"
"May 22, 2017","2,394.02","2,387.21","2,395.46","2,386.92","-","0.52%"
"May 19, 2017","2,381.73","2,371.37","2,389.06","2,370.43","-","0.68%"
"May 18, 2017","2,365.72","2,354.69","2,375.74","2,352.72","-","0.37%"
"May 17, 2017","2,357.03","2,382.95","2,384.87","2,356.21","-","-1.82%"
"May 16, 2017","2,400.67","2,404.55","2,405.77","2,396.05","-","-0.07%"
"May 15, 2017","2,402.32","2,393.98","2,404.05","2,393.94","-","0.48%"
"May 12, 2017","2,390.90","2,392.44","2,392.44","2,387.19","-","-0.15%"
"May 11, 2017","2,394.44","2,394.84","2,395.72","2,381.74","-","-0.22%"
"May 10, 2017","2,399.63","2,396.79","2,399.74","2,392.79","-","0.11%"
"May 09, 2017","2,396.92","2,401.58","2,403.87","2,392.44","-","-0.10%"
"May 08, 2017","2,399.38","2,399.94","2,401.36","2,393.92","-","0.00%"
"May 05, 2017","2,399.29","2,392.37","2,399.29","2,389.38","-","0.41%"
"May 04, 2017","2,389.52","2,389.79","2,391.43","2,380.35","-","0.06%"
"May 03, 2017","2,388.13","2,386.50","2,389.82","2,379.75","-","-0.13%"
"May 02, 2017","2,391.17","2,391.05","2,392.93","2,385.82","-","0.12%"
"May 01, 2017","2,388.33","2,388.50","2,394.49","2,384.83","-","0.17%"
"Apr 28, 2017","2,384.20","2,393.68","2,393.68","2,382.36","-","-0.19%"
"Apr 27, 2017","2,388.77","2,389.70","2,392.10","2,382.68","-","0.06%"
"Apr 26, 2017","2,387.45","2,388.98","2,398.16","2,386.76","-","-0.05%"
"Apr 25, 2017","2,388.61","2,381.51","2,392.48","2,381.15","-","0.61%"
"Apr 24, 2017","2,374.15","2,370.33","2,376.98","2,369.19","-","1.08%"
"Apr 21, 2017","2,348.69","2,354.74","2,356.18","2,344.51","-","-0.30%"
"Apr 20, 2017","2,355.84","2,342.69","2,361.37","2,340.91","-","0.76%"
"Apr 19, 2017","2,338.17","2,346.79","2,352.63","2,335.05","-","-0.17%"
"Apr 18, 2017","2,342.19","2,342.53","2,348.35","2,334.54","-","-0.29%"
"Apr 17, 2017","2,349.01","2,332.62","2,349.14","2,332.51","-","0.86%"
"Apr 13, 2017","2,328.95","2,341.98","2,348.26","2,328.95","-","-0.68%"
"Apr 12, 2017","2,344.93","2,352.15","2,352.72","2,341.18","-","-0.38%"
"Apr 11, 2017","2,353.78","2,353.92","2,355.22","2,337.25","-","-0.14%"
"Apr 10, 2017","2,357.16","2,357.16","2,366.37","2,351.50","-","0.07%"
"Apr 07, 2017","2,355.54","2,356.59","2,363.76","2,350.74","-","-0.08%"
"Apr 06, 2017","2,357.49","2,353.79","2,364.16","2,348.90","-","0.19%"
"Apr 05, 2017","2,352.95","2,366.59","2,378.36","2,350.52","-","-0.31%"
"Apr 04, 2017","2,360.16","2,354.76","2,360.53","2,350.72","-","0.06%"
"Apr 03, 2017","2,358.84","2,362.34","2,365.87","2,344.73","-","-0.16%"
"Mar 31, 2017","2,362.72","2,364.82","2,370.35","2,362.60","-","-0.23%"
"Mar 30, 2017","2,368.06","2,361.31","2,370.42","2,358.58","-","0.29%"
"Mar 29, 2017","2,361.13","2,356.54","2,363.36","2,352.94","-","0.11%"
"Mar 28, 2017","2,358.57","2,339.79","2,363.78","2,337.63","-","0.73%"
