date,length,pos,neg
2017-05-01,518,0.13480888030888036,0.0324054054054054
2017-05-02,514,0.1140428015564203,0.038863813229571983
2017-05-03,517,0.1266092843326886,0.04147388781431335
2017-05-04,500,0.15024600000000013,0.05052800000000001
2017-05-05,516,0.09489147286821704,0.020560077519379844
2017-05-06,519,0.17217341040462422,0.04780539499036611
2017-05-07,517,0.16545841392649904,0.04009864603481628
2017-05-08,500,0.11945199999999993,0.04862599999999999
2017-05-09,518,0.13368339768339776,0.03717181467181468
2017-05-10,517,0.09969052224371379,0.033069632495164404
2017-05-11,500,0.10353200000000001,0.026189999999999998
2017-05-12,512,0.14243749999999994,0.03542382812499999
2017-05-13,1033,0.14907066795740553,0.05548112294288482
2017-05-14,518,0.13615444015444006,0.04079536679536678
2017-05-15,514,0.11425291828793768,0.04366147859922178
2017-05-16,517,0.11125338491295944,0.0537698259187621
2017-05-17,513,0.1290175438596492,0.053863547758284565
2017-05-18,510,0.16823921568627453,0.05477843137254903
2017-05-19,500,0.12034200000000002,0.033628
2017-05-20,519,0.1613217726396918,0.055410404624277446
2017-05-21,512,0.1248359375000002,0.06043945312500003
2017-05-22,500,0.11898800000000008,0.04194199999999998
2017-05-23,501,0.12916766467065874,0.0390139720558882
2017-05-24,500,0.143166,0.04720800000000001
2017-05-25,504,0.11028968253968255,0.05309325396825396
2017-05-26,500,0.11828400000000008,0.04168999999999998
2017-05-27,516,0.161110465116279,0.03844186046511627
2017-05-28,513,0.14188109161793375,0.05003118908382067
2017-05-29,500,0.12358600000000014,0.07009199999999983
2017-05-30,500,0.16628400000000007,0.03280999999999999
2017-05-31,500,0.13821599999999995,0.035904
2017-06-01,517,0.1297117988394584,0.04473694390715667
2017-06-02,511,0.14111937377690797,0.03523287671232876
2017-06-03,515,0.14413009708737867,0.04301747572815534
2017-06-04,515,0.17880776699029127,0.043365048543689326
2017-06-05,515,0.12569320388349522,0.041466019417475714
2017-06-06,513,0.1453567251461988,0.03490448343079921
